en,es_la,Pt_br,ru,tk,zh_tw,zh
,Suscripción de Widgets,Widgets de Assinaturas,Виджеты для подписки,Abonelik Pencere Öğeleri,,订阅工具
,Herramientas de registro,Widgets de Login ,Виджет для подписки,Giriş Pencere Öğeleri,,登陆工具
,"Mide y <br><span class=""line""><ins>Analiza </ins></span> La Retro Alimentación","Avalie e <br><span class=""line""><ins>Entenda </ins></span> o Feedback","Анализируйте и <br><span class=""line""><ins>понимайте</ins></span> обратную связь","Geri Bildirimi Ölçün ve <br> <span class = ""line""> <ins> Anlayın </ins> </span>",,"收集反馈<br><span class=""line""><ins>实时评估，</ins></span>获取洞察"
,"Crea encuestas, cuestionarios y sondeos fácilmente para diferentes audiencias para recopilar y analizar sus opiniones y preferencias.","Crie facilmente pesquisas, questionários e enquetes para diferentes públicos para reunir e analisar suas opiniões e preferências.","С легкостью создавайте опросы, тесты и голосования для различных аудиторий, чтобы собрать и проанализировать их мнения и предпочтения.","Farklı hedef kitlelerin fikirlerini ve tercihlerini toplayıp analiz etmeleri için kolayca anketler, testler ve anketler oluşturun.",,针对不同的目标受众，轻松创建调查问卷、测试、投票等，收集反馈并分析他们的选择与偏好。
Learn More About Your Communities,Conoce más sobre tus comunidades,Saiba mais sobre suas comunidades,Узнайте больше о ваших сообществах,Topluluklarınız hakkında daha fazla bilgi edinin,,更加了解您的客户
,Escucha a tus consumidores y obtén su opinión de cualquier tema,Ouça seus clientes e obtenha suas opiniões sobre qualquer assunto.,Слушайте своих клиентов и узнавайте их мнения по любой теме.,Müşterilerinizi dinleyin ve herhangi bir konuda fikirlerini alın.,,倾听客户意见，收集反馈。
,Encuestas,Pesquisa,Опросы,Anketler,,调查问卷
Ask Your Community Anything,Pregúntale lo que sea a tu comunidad,Pergunte qualquer coisa para sua comunidade,Задай любой вопрос своему сообществу, Topluluğunuza her şeyi sorun,,快速高效地完成反馈意见收集
,"Desde comentarios sobre eventos a través de estudios de la industria hasta preferencias alimentarias, puedes preguntarles a tu audiencia lo que quieras.","Desde feedback de eventos, passando por estudos da indústria até preferências alimentares, você pode perguntar ao seu público o que quiser.","От отзыва о мероприятии, отраслевых исследований до предпочтений в еде, вы можете спросить свою аудиторию о чем угодно.","Etkinlik geri bildirimlerinden endüstri araştırmalarına ve yemek tercihlerine kadar, izleyicilerinize istediğiniz her şeyi sorabilirsiniz.",,从活动意见反馈，到行业分析，再到活动会场准备的餐食建议等，您可以根据个性化需求，设置问题，收集一切您所需的信息。
,Tipos de Preguntas Ilimitadas,Tipos de Perguntas Ilimitadas,Неограниченное Количество Типов Вопросов, Sınırsız Soru Tipleri,,问题类型无限制
,Comentarios del evento,Feedback do Evento,Отзывы о мероприятии,Etkinlik Geri Bildirimi,,活动反馈
,AC's,NPS,NPS,NPS,,客户净推荐值
,Encuestas de satisfacción de miembros,Pesquisas de Satisfação de Membros,Опросы удовлетворенности участников,Üye Memnuniyet Anketleri,,会员满意度调查问卷
,Investigación de reconocimiento de marca,Pesquisa de conscientização da marca,Исследование узнаваемости бренда, Marka Farkındalık Araştırması,,品牌知名度研究
,CRM,CRM,CRM,CRM,,CRM
,Recopila todos los datos automáticamente,Colete todos os dados automaticamente,Собирайте все данные автоматически, Tüm Verileri Otomatik Olarak Toplayın,,自动化收集全部数据
,Todas las respuestas de las encuestas se almacenan junto con otra información de los encuestados y se sincronizan automáticamente para que puedas ver el panorama general.,Todas as respostas da pesquisa são armazenadas juntamente com outras informações dos entrevistados e sincronizadas automaticamente para que você possa ver o quadro geral.,"  Все ответы на опросы хранятся вместе с другой информацией от респондентов и автоматически синхронизируются, чтобы вы могли видеть общую картину."," Tüm anket yanıtları, yanıtlayanlardan gelen diğer bilgilerle birlikte saklanır ve büyük resmi görebilmeniz için otomatik olarak senkronize edilir.",,所有调查问卷的反馈信息与反馈者的个人信息都是集中式储存管理的，且已实现自动同步，以便您能看到整体情况。
,Flexible,Flexível,Гибкий,Esnek,,灵活的
,Marca personalizada,Branding Personalizado,Персонализированный брендинг, Özel markalama,,自定义品牌推广
,Reportes en tiempo real,Relatórios em Tempo Real,Отчеты в режиме реального времени,Gerçek Zamanlı Raporlar,,实时反馈报告
,Plantillas,Modelos,Шаблоны,Şablonlar,,模板
,Crea diferentes tipos de encuestas,Crie diferentes tipos de pesquisas,Создавайте различные типы опросов,Farklı Anket Türleri Oluşturun,,创建不同类型的调查问卷
,"Ahorra tiempo al escoger alguna de nuestras plantillas de encuestas preparadas por profesionales certificados, agrega tus propias preguntas y crea diferentes encuestas para obtener las respuestas que necesitas para tomar mejores decisiones. ","Economize tempo escolhendo qualquer um dos nossos modelos de questionário preparados por profissionais certificados, adicione suas próprias perguntas e crie diferentes questionários para obter as respostas de que você precisa para tomar melhores decisões.","Экономьте время, выбирая любой из наших шаблонов опросов, подготовленных сертифицированными специалистами, добавляйте свои собственные вопросы и создавайте опросы, чтобы получить ответы, необходимые для принятия более эффективных решений."," Sertifikalı profesyoneller tarafından hazırlanan anket şablonlarımızdan herhangi birini seçerek zamandan tasarruf edin, kendi sorularınızı ekleyin ve daha iyi kararlar vermek için ihtiyacınız olan yanıtları almak için farklı anketler oluşturun.",,您可以使用我们提供的专业调查问卷模板，更省时高效。您也可以根据自己的需求创建调查问卷并设置问题，向您的参会者收集反馈意见，为下一次活动做好优化准备与决策。
